entry_id,family,size,arch,n_q,n_kv,qk_norm,training_tokens,eta_peak,lambda_wd,T_steps,tau_iter,T_over_tau,Physical_State,hp_confidence,n_records,k_median_qkv,lambda_median_qkv,R2_median_qkv,R2_below_95_qkv,k_median_o,lambda_median_o,R2_median_o,R2_below_95_o,k_median_ffn_in,lambda_median_ffn_in,R2_median_ffn_in,R2_below_95_ffn_in,k_median_ffn_out,lambda_median_ffn_out,R2_median_ffn_out,R2_below_95_ffn_out,k_median_q,lambda_median_q,R2_median_q,R2_below_95_q,k_median_k,lambda_median_k,R2_median_k,R2_below_95_k,k_median_v,lambda_median_v,R2_median_v,R2_below_95_v,k_median_gate,lambda_median_gate,R2_median_gate,R2_below_95_gate,k_median_up,lambda_median_up,R2_median_up,R2_below_95_up,k_median_down,lambda_median_down,R2_median_down,R2_below_95_down
pythia-70m,Pythia,70m,MHA-merged,,,False,300B,0.001,0.01,143000,100000,1.43,Saturated,explicit,24,1.0488499908322977,0.027829200076895988,0.9980661795697541,1/6,1.1837935286072323,0.018602428920403802,0.9985356796636042,0/6,1.1902710504479086,0.026003913070232375,0.9983539238333419,0/6,1.1898015122737948,0.021012236928099785,0.9982397335063831,0/6,,,,,,,,,,,,,,,,,,,,,,,,
pythia-160m,Pythia,160m,MHA-merged,,,False,300B,0.0006,0.01,143000,166667,0.858,Near-saturated,explicit,48,1.0982363830376656,0.02515902104056176,0.9994532449901053,0/12,1.191740628409264,0.015679046523988435,0.9982396364419186,0/12,1.1926538220592602,0.024112364246690256,0.9982122944417534,0/12,1.1953319289698738,0.018883547673911608,0.9981279582557228,0/12,,,,,,,,,,,,,,,,,,,,,,,,
pythia-410m,Pythia,410m,MHA-merged,,,False,300B,0.0003,0.01,143000,333333,0.429,Approaching,explicit,96,1.146561528599217,0.02122171415636209,0.998936826903025,0/24,1.1988129781844883,0.017971449756907294,0.9980865208585606,0/24,1.1990799021662437,0.020800650303664674,0.9979860387362547,0/24,1.201096993470142,0.01715614873199387,0.9979236660582246,0/24,,,,,,,,,,,,,,,,,,,,,,,,
pythia-1b,Pythia,1B,MHA-merged,,,False,300B,0.0003,0.01,143000,333333,0.429,Approaching,explicit,64,1.1758165081776015,0.020136835465006095,0.9986403658408189,0/16,1.199000460660631,0.018768755040468516,0.9980321219869854,0/16,1.199710534194005,0.020151192747180725,0.9980168719428919,0/16,1.1992630782799794,0.01733192000700065,0.9980239716959693,0/16,,,,,,,,,,,,,,,,,,,,,,,,
pythia-6.9b,Pythia,6.9B,MHA-merged,,,False,300B,0.00012,0.01,143000,833333,0.172,Transition,explicit,128,1.1725961308622437,0.016787633359452464,0.9989545055530709,0/32,1.1986053979939104,0.013017965092167658,0.998024607412637,0/32,1.2026301500842531,0.016750572288110506,0.9978736032238523,0/32,1.200956915459356,0.014671536899830185,0.9979452059317363,0/32,,,,,,,,,,,,,,,,,,,,,,,,
olmo-1-7b,OLMo-1,7B,MHA-separate,32,32,False,2.5T,0.0003,0.1,477000,33333,14.31,Saturated,explicit,224,,,,,1.0408657276990618,0.002401554550633505,0.9971792835186756,2/32,,,,,,,,,0.8122912154036579,0.001728964705557532,0.9987052449748253,12/32,0.760128189603047,0.0017030071063091484,0.9985575728031171,13/32,1.0601198634820659,0.0025129714668301892,0.9971448334283877,0/32,1.2009840121871695,0.003363367499645852,0.997926463922367,0/32,1.203942863882499,0.0034419612928361385,0.9977918785255582,0/32,1.204103938938425,0.0034857079668821657,0.9977980830738356,0/32
olmo-2-7b,OLMo-2,7B,MHA-separate,32,32,True,~4T,0.0003,0.1,480000,33333,14.4,Saturated,inferred,224,,,,,1.1957824956841125,0.01633689288553169,0.9980401478865495,0/32,,,,,,,,,0.989513585691632,0.014060155205477352,0.9908743229136651,2/32,0.9715995155742865,0.013240338570321912,0.9935710555725896,7/32,1.1930013229215812,0.016630755274009916,0.9980887579980875,0/32,1.1976133728932,0.017549626600536647,0.9980961344940342,0/32,1.2031829219410521,0.01675671031075271,0.9978851898208778,0/32,1.2030757372152108,0.01654031946425652,0.997865366465111,0/32
llama-3-8b,Llama-3,8B,GQA-4:1,32,8,False,>15T,0.0003,0.1,1000000,33333,30.0,Saturated,inferred,224,,,,,1.184071385746421,0.008293435300471455,0.998465712933232,0/32,,,,,,,,,1.1352115988550961,0.013524263847823039,0.9995330340960915,0/32,1.1461534355136989,0.0210008606786853,0.9994212651102061,0/32,1.1710054472835778,0.0074532770403264465,0.9984796629483923,0/32,1.1890150725270956,0.011714635540860925,0.9984570553256354,0/32,1.1970808681863536,0.009321699181305845,0.9979506822747821,0/32,1.1931330108175051,0.009227488024057286,0.9980590165512454,0/32
mistral-7b,Mistral,7B,GQA-4:1,32,8,False,8T,0.0003,0.1,500000,33333,15.0,Saturated,estimated,224,,,,,1.190243912925892,0.002402403275884374,0.9983281530362517,0/32,,,,,,,,,1.1485392032119919,0.0029794427980022876,0.999306901399193,1/32,1.1290637579544684,0.0035066491246891554,0.9996222872848544,0/32,1.1701993384534188,0.0023825545163240107,0.9983546533501352,0/32,1.194720188713138,0.0028355399128622725,0.9981770951518927,0/32,1.1964326908213916,0.002581969834286769,0.9980098695080295,0/32,1.1925738330014424,0.002545509262438919,0.9981714252724023,0/32
qwen2.5-7b,Qwen2.5,7B,GQA-7:1,28,4,False,18T,0.0003,0.1,1100000,33333,33.0,Saturated,inferred,196,,,,,1.1664607878011877,0.013070396382489802,0.9989430337848695,0/28,,,,,,,,,1.1328116652061784,0.013520394365978409,0.9993364777176525,0/28,1.1033345281197386,0.014088124992005789,0.9998005555777307,0/28,1.1430042518328158,0.01389958738996697,0.9986895435422882,0/28,1.190394620384456,0.01430298685422907,0.9982928398948381,0/28,1.1888191751907358,0.014378046711090012,0.9982963964287199,0/28,1.1829726136894823,0.014066967405546603,0.9985022496848237,0/28
qwen2.5-14b,Qwen2.5,14B,GQA-5:1,40,8,False,18T,0.0003,0.1,1100000,33333,33.0,Saturated,estimated,336,,,,,1.1902689594847788,0.01703065353318889,0.9983102705549793,0/48,,,,,,,,,1.1637950058767554,0.017192552201269473,0.998839284998919,0/48,1.1413107242882679,0.01886171497606581,0.999296181093443,0/48,1.1627663489862312,0.016987882592358516,0.9985629843902661,0/48,1.192862391025625,0.018127063719366093,0.9981964000530286,3/48,1.1925661088859454,0.01869604054791214,0.998083485472177,1/48,1.1897130816957326,0.018294066371698982,0.9982160753302698,1/48
