entry_id,family,size,n_layers,tokens,math_cpt,regime,shallow_median_k_gate,shallow_min_k,deep_median_k_gate,k_median_q,lambda_median_q,k_median_k,lambda_median_k,k_median_v,lambda_median_v,k_median_o,lambda_median_o,k_median_gate,lambda_median_gate,k_median_up,lambda_median_up,k_median_down,lambda_median_down
Qwen2-1.5B-base,Qwen2,1.5B,28,7T,False,A,1.191,1.179,1.182,1.1166,0.017619,1.1142,0.019663,1.1438,0.017283,1.1416,0.015804,1.1856,0.018663,1.1876,0.017259,1.1769,0.016532
Qwen2.5-1.5B,Qwen2.5,1.5B,28,18T,False,A,1.178,1.167,1.174,1.0947,0.022248,1.1155,0.022767,1.1377,0.022529,1.1375,0.021318,1.1777,0.024428,1.1796,0.024191,1.1688,0.023029
Qwen2-Math-1.5B,Qwen2,1.5B,28,7T + Math CPT,True,A,1.194,1.187,1.191,1.1277,0.026186,1.1083,0.025765,1.1446,0.027399,1.1556,0.025644,1.1931,0.028681,1.1905,0.027327,1.1874,0.026545
Qwen2.5-Math-1.5B,Qwen2.5,1.5B,28,18T + Math CPT,True,A,1.195,1.117,1.19,1.1256,0.031397,1.1011,0.03066,1.1468,0.035419,1.1564,0.032549,1.1912,0.035301,1.1881,0.034377,1.1859,0.033434
Qwen2-7B,Qwen2,7B,28,7T,False,B,0.958,0.526,1.19,1.1366,0.012315,1.1096,0.013404,1.1456,0.011907,1.166,0.011224,1.1895,0.012839,1.1892,0.012358,1.1838,0.012072
Qwen2.5-7B,Qwen2.5,7B,28,18T,False,B,0.969,0.566,1.189,1.1321,0.013501,1.1027,0.014071,1.1422,0.013882,1.1659,0.013051,1.1882,0.014285,1.1882,0.014358,1.1825,0.014048
Qwen2-Math-7B,Qwen2,7B,28,7T + 200B Math,True,B,0.958,0.519,1.197,1.1545,0.020016,1.1249,0.019288,1.1523,0.02054,1.1808,0.019962,1.1971,0.021204,1.1946,0.021292,1.1935,0.021198
Qwen2.5-Math-7B,Qwen2.5,7B,28,18T + 700B Math,True,B,1.009,0.619,1.196,1.1547,0.020615,1.1195,0.019622,1.1515,0.02202,1.1791,0.020918,1.1959,0.022145,1.1934,0.02223,1.1916,0.022061
Qwen2.5-3B,Qwen2.5,3B,36,18T,False,B,0.653,0.571,1.181,1.1277,0.02131,1.12,0.022404,1.1484,0.021794,1.161,0.020729,1.1781,0.02242,1.1813,0.022888,1.1747,0.021827
Qwen3-8B,Qwen3,8B,36,36T,False,B,0.692,0.341,1.189,1.1623,0.021498,1.1539,0.021103,1.1581,0.024755,1.1802,0.022654,1.1872,0.023741,1.1886,0.023673,1.1846,0.02323
Qwen2.5-14B,Qwen2.5,14B,48,18T,False,B,0.439,0.398,1.193,1.1638,0.017193,1.1413,0.018862,1.1628,0.016988,1.1903,0.017031,1.1929,0.018127,1.1926,0.018696,1.1897,0.018294
